,,Privaciones Municipios,,,,,,,,,,,,,,
13140,CALAMAR,29.7,66.7,2.5,2.3,50.0,27.5,75.8,5.2,3.0,17.4,21.6,44.3,16.5,0.6,94.0
13160,CANTAGALLO,20.9,65.5,2.6,7.5,48.3,18.9,33.1,6.2,8.1,28.7,23.1,28.0,15.6,2.5,86.0
13188,CICUCO,29.7,69.3,2.2,12.6,49.5,26.6,78.1,6.5,3.7,28.5,28.2,5.3,14.7,1.5,91.1
13212,CÓRDOBA,41.0,74.1,2.1,13.1,48.2,18.3,44.5,3.7,1.3,34.3,20.2,27.6,12.0,1.3,95.5
13222,CLEMENCIA,24.5,60.4,3.0,1.6,55.6,29.3,91.4,6.3,17.0,29.9,19.3,86.6,19.8,0.8,90.1
13244,EL CARMEN DE BOLÍVAR,29.1,64.6,2.2,6.8,41.1,26.6,88.7,5.0,7.7,36.7,17.2,25.4,12.0,1.4,93.6
13248,EL GUAMO,36.7,75.9,2.3,5.7,45.4,16.9,62.5,3.3,1.2,23.0,18.7,18.4,9.3,0.6,94.0
13268,EL PEÑÓN,27.2,73.3,2.3,16.9,59.7,23.9,64.5,5.6,3.4,37.8,31.5,36.4,13.0,0.9,89.9
13300,HATILLO DE LOBA,37.4,78.3,4.3,21.3,57.4,29.8,43.6,9.3,6.7,38.0,36.8,15.9,20.0,1.8,93.2
13430,MAGANGUÉ,20.9,60.5,2.4,4.5,46.5,17.7,46.9,5.4,8.6,21.9,22.3,12.6,17.2,1.1,93.4
13433,MAHATES,28.6,66.6,2.1,14.9,48.4,20.0,51.6,3.7,4.0,15.8,19.6,11.3,16.1,0.8,92.4
13440,MARGARITA,29.0,76.6,2.3,15.5,49.9,19.7,49.4,5.3,2.2,44.0,24.4,27.7,18.1,1.2,95.0
13442,MARÍA LA BAJA,32.9,72.8,5.7,1.2,46.4,16.5,56.6,18.0,17.5,30.1,23.7,45.8,18.4,2.2,94.4
13458,MONTECRISTO,20.9,79.3,6.1,22.8,36.8,15.4,63.8,9.1,7.7,53.8,27.8,60.6,16.9,3.7,88.8
13468,MOMPÓS,24.0,61.5,3.4,1.0,43.2,20.5,42.2,5.4,3.9,28.7,22.4,8.9,17.4,1.3,93.2
13473,MORALES,15.7,74.7,3.6,6.4,45.7,14.7,26.2,6.2,7.6,56.6,24.6,34.7,18.3,1.8,93.4
13490,NOROSÍ,20.3,77.3,3.7,11.2,36.9,15.8,69.5,8.5,13.9,62.2,23.0,57.0,17.6,2.3,92.7
13549,PINILLOS,25.9,73.8,3.0,0.3,58.5,31.0,53.2,6.4,15.0,68.3,25.0,40.0,14.4,1.6,94.8
13580,REGIDOR,21.5,62.0,4.1,4.9,48.8,14.8,67.1,5.5,16.1,20.6,21.9,3.9,15.8,1.1,78.8
13600,RÍO VIEJO,23.3,71.4,2.6,1.9,49.0,18.6,36.6,5.4,16.9,41.8,26.8,28.5,18.0,1.6,90.0
13620,SAN CRISTÓBAL,19.5,63.3,1.5,6.5,53.8,22.5,76.4,3.1,1.9,11.1,15.4,4.1,15.2,0.6,92.5
13647,SAN ESTANISLAO,25.9,62.5,1.9,4.5,43.3,23.1,82.0,4.9,3.4,16.8,17.1,13.5,14.3,0.7,89.9
13650,SAN FERNANDO,30.9,74.3,2.0,2.7,60.1,23.2,41.6,5.2,1.2,48.7,26.9,20.2,15.8,1.4,93.8
13654,SAN JACINTO,29.8,63.0,1.2,6.8,48.2,22.1,94.0,3.9,4.6,25.8,19.3,99.0,9.2,0.9,94.3
13655,SAN JACINTO DEL CAUCA,24.5,73.3,3.6,1.3,54.4,20.1,73.5,5.7,18.0,64.2,24.0,45.0,13.5,2.6,95.0
13657,SAN JUAN NEPOMUCENO,30.2,63.0,1.9,6.6,39.9,20.4,77.9,4.0,4.4,13.5,12.8,49.0,12.0,1.1,92.9
13667,SAN MARTÍN DE LOBA,26.3,73.2,2.6,0.7,49.6,25.9,39.8,6.6,14.1,36.0,28.8,26.9,18.6,1.3,95.2
13670,SAN PABLO,20.9,69.7,3.6,7.1,41.1,20.8,38.1,8.0,20.8,31.2,26.1,18.8,17.2,3.0,90.3
13673,SANTA CATALINA,23.3,62.6,1.9,0.9,46.7,15.5,57.2,4.0,6.4,12.1,25.2,95.0,15.1,0.6,89.5
13683,SANTA ROSA,19.8,56.3,2.6,8.6,46.2,17.1,94.3,11.6,33.0,16.1,19.9,64.8,11.2,0.6,88.1
13688,SANTA ROSA DEL SUR,9.4,69.1,3.6,13.4,34.2,15.4,17.0,7.4,3.9,20.0,24.8,23.3,14.0,3.7,91.5
13744,SIMITÍ,20.9,72.9,3.7,8.2,39.4,16.8,57.0,6.7,3.1,26.5,25.5,25.1,16.0,2.9,91.1
13760,SOPLAVIENTO,10.7,48.8,1.6,3.5,45.3,24.5,98.7,2.5,0.9,13.3,12.2,9.7,16.3,0.4,89.2
13780,TALAIGUA NUEVO,23.4,59.0,1.5,4.8,51.8,26.7,44.4,3.9,0.9,25.4,23.3,7.5,14.4,1.1,93.4
13810,TIQUISIO,27.1,76.0,6.2,13.4,47.2,22.0,76.3,10.1,14.6,54.2,34.2,49.0,17.6,4.2,96.8
13836,TURBACO,10.4,35.1,2.2,4.4,37.2,16.0,72.4,2.9,3.4,4.0,15.0,22.7,17.5,0.4,83.2
13838,TURBANÁ,19.6,56.5,1.7,4.7,50.0,24.5,41.5,4.2,8.3,6.7,16.2,41.4,16.7,0.2,83.3
13873,VILLANUEVA,25.1,62.8,1.8,2.6,38.8,23.7,91.9,3.6,29.1,22.7,26.5,45.5,13.1,0.9,90.9
13894,ZAMBRANO,34.9,66.9,1.8,6.2,48.1,30.1,94.7,4.9,11.1,25.2,17.5,18.1,12.1,1.1,91.7
15001,TUNJA,3.8,25.6,1.3,5.5,27.7,4.4,1.9,1.5,0.1,0.5,12.3,0.9,18.0,0.5,75.3
15022,ALMEIDA,14.9,76.8,1.7,0.7,51.3,2.2,9.9,3.2,0.9,17.5,8.4,36.4,8.3,1.0,88.8
15047,AQUITANIA,16.1,77.6,1.4,3.5,36.7,6.5,13.8,4.4,0.4,8.7,14.9,23.9,10.6,3.5,95.1
15051,ARCABUCO,10.9,66.0,1.2,4.3,23.9,6.5,15.4,6.5,0.4,3.6,15.9,17.0,11.5,2.7,89.4
15087,BELÉN,11.0,63.4,1.1,4.7,40.3,7.5,8.0,1.7,0.2,5.3,14.9,8.4,10.3,1.3,85.6
15090,BERBEO,18.1,73.4,0.9,1.2,58.4,3.5,11.5,2.6,1.0,16.2,14.3,14.8,9.4,0.5,84.9
15092,BETÉITIVA,15.5,69.9,0.8,4.3,60.7,6.4,18.9,2.0,0.1,27.5,11.2,40.4,10.6,0.4,84.0
15097,BOAVITA,18.5,69.6,0.9,9.5,53.3,9.9,12.9,1.8,0.3,42.1,17.0,46.0,11.5,0.3,85.3
15104,BOYACÁ,21.1,84.7,1.8,3.6,48.1,4.3,16.7,3.4,0.4,9.2,13.7,13.7,10.1,2.6,91.6
15106,BRICEÑO,18.7,82.4,0.8,7.6,37.7,5.4,8.2,5.2,0.7,5.2,19.0,51.6,13.0,2.8,90.2
15109,BUENAVISTA,23.6,83.4,0.8,1.0,35.3,3.8,10.1,3.0,0.3,10.7,18.1,49.3,10.2,1.4,93.0
15114,BUSBANZÁ,10.9,64.2,0.9,1.2,55.8,8.4,5.9,1.6,0.0,22.7,12.5,7.8,8.7,0.6,85.4
15131,CALDAS,15.5,77.9,1.1,1.5,54.7,5.2,15.8,2.5,0.5,10.0,13.7,33.4,12.1,0.9,91.8
15135,CAMPOHERMOSO,13.7,77.3,1.4,9.4,49.3,3.8,15.2,4.0,0.6,25.3,19.2,55.4,7.8,1.8,89.8
15162,CERINZA,9.9,68.9,0.7,13.5,46.1,4.7,8.6,1.5,0.1,6.2,10.9,6.7,11.8,0.2,87.4
15172,CHINAVITA,17.5,77.0,1.9,0.9,56.2,5.8,8.0,5.2,0.4,10.9,9.7,18.2,9.9,0.8,90.8
15176,CHIQUINQUIRÁ,8.4,44.7,1.5,4.5,29.2,5.2,1.9,2.1,0.4,1.1,13.5,3.4,15.3,1.3,84.2
15180,CHISCAS,16.5,70.7,1.7,8.0,68.9,16.0,19.6,2.3,0.5,53.1,15.2,23.9,16.2,0.5,92.3
15183,CHITA,22.4,80.3,1.2,5.1,71.5,18.3,27.2,4.2,0.9,66.1,22.6,46.9,11.3,0.9,93.1
15185,CHITARAQUE,20.0,81.8,2.1,1.1,32.7,3.5,20.3,5.9,2.7,25.6,13.7,55.0,11.0,2.6,93.6
15187,CHIVATÁ,18.8,70.3,2.5,4.3,57.3,11.2,23.0,2.6,0.5,10.0,18.5,10.9,13.5,0.5,83.1
15189,CIÉNEGA,17.1,81.4,0.9,1.1,38.8,6.8,46.1,3.4,0.1,3.6,17.0,12.7,8.5,2.8,91.9
15204,CÓMBITA,12.9,69.0,1.0,2.7,41.9,5.4,41.9,3.1,0.0,2.9,18.3,11.6,12.2,1.2,86.1
15212,COPER,23.2,80.8,2.0,0.5,25.3,4.2,4.5,7.2,0.4,5.9,13.2,63.0,9.2,2.2,92.4
15215,CORRALES,10.3,64.5,2.1,2.3,47.2,10.5,8.3,1.6,0.0,9.5,17.0,5.9,12.7,0.3,76.4
15218,COVARACHÍA,21.2,75.9,0.9,5.8,63.3,12.2,25.9,1.8,0.2,46.8,14.7,41.2,9.3,0.2,91.8
15223,CUBARÁ,45.2,76.2,9.0,2.3,68.0,30.7,49.7,23.3,41.4,48.1,36.1,49.6,25.4,1.1,91.8
15224,CUCAITA,10.5,73.9,1.0,2.8,38.7,8.7,6.2,3.7,0.1,8.3,12.7,5.5,9.1,3.4,90.1
15226,CUÍTIVA,14.7,73.2,1.5,5.5,52.2,4.8,10.5,3.2,0.0,8.4,17.2,15.1,10.7,1.2,88.6
15232,CHÍQUIZA,19.4,92.1,1.5,0.2,43.2,10.1,48.1,6.1,0.1,18.1,19.8,24.1,9.1,2.2,95.9
15236,CHIVOR,16.1,76.6,0.8,2.7,58.3,4.9,31.3,2.4,1.5,15.8,7.4,34.3,11.9,1.0,93.6
15238,DUITAMA,4.8,34.3,1.4,3.7,27.9,4.0,1.3,1.5,0.2,0.5,11.4,1.0,14.8,0.6,78.0
15244,EL COCUY,13.1,71.9,1.3,3.8,60.2,19.5,7.2,5.1,2.9,37.0,16.7,13.6,8.7,1.0,91.4
15248,EL ESPINO,10.0,58.8,1.0,4.4,52.6,10.6,4.9,1.9,0.4,22.7,7.7,11.3,10.4,0.9,89.3
15272,FIRAVITOBA,11.3,57.2,0.9,6.7,38.4,4.8,11.8,1.4,0.4,4.7,12.4,7.3,9.7,0.6,82.1
15276,FLORESTA,17.6,76.2,0.5,3.0,60.2,10.0,15.2,2.4,0.1,23.1,13.1,15.0,7.7,0.4,89.4
15293,GACHANTIVÁ,17.0,76.6,0.9,22.4,39.4,5.6,32.0,2.0,0.4,22.4,12.1,35.5,9.1,1.6,89.0
15296,GÁMEZA,14.1,80.1,1.4,3.9,52.8,11.4,22.3,3.7,0.1,8.9,16.9,7.9,14.0,0.8,82.3
15299,GARAGOA,8.4,57.1,1.1,3.6,35.8,3.9,5.3,2.0,0.6,4.4,9.8,13.8,12.0,0.8,84.2
15317,GUACAMAYAS,11.7,63.4,0.7,1.2,49.2,8.0,9.2,2.4,0.0,16.9,14.1,18.7,11.3,0.6,89.0
15322,GUATEQUE,9.8,55.1,1.1,6.2,29.7,4.7,8.4,1.5,1.1,5.5,10.0,7.7,10.7,1.1,82.8
15325,GUAYATÁ,17.7,78.1,0.8,6.3,41.0,4.3,20.4,1.4,0.5,24.6,7.9,21.1,7.4,0.9,89.8
15332,GÜICÁN DE LA SIERRA,24.2,67.4,2.7,8.1,51.5,16.6,21.1,11.2,10.8,33.5,20.4,32.4,15.3,2.2,89.0
15362,IZA,8.2,52.2,1.8,5.8,42.0,8.9,7.9,1.0,0.7,4.8,13.8,7.8,17.1,0.8,82.7
15367,JENESANO,19.0,79.0,1.6,0.8,49.2,5.3,14.0,3.6,0.2,10.2,12.8,16.7,7.5,1.3,89.8
15368,JERICÓ,24.7,83.0,1.5,2.3,77.6,15.0,39.9,4.2,1.2,52.6,12.5,44.3,9.8,0.4,90.2
15377,LABRANZAGRANDE,27.4,82.2,2.4,7.0,47.2,11.5,33.8,4.0,1.4,39.9,15.8,32.1,10.1,2.1,91.6
15380,LA CAPILLA,15.5,77.5,0.4,1.0,45.5,3.2,12.4,2.1,0.2,7.3,11.2,19.1,7.6,1.4,90.6
15401,LA VICTORIA,23.8,76.7,0.8,0.5,28.0,1.6,18.4,2.6,4.1,17.9,18.7,32.4,7.3,2.6,86.8
15403,LA UVITA,11.5,68.1,0.7,5.7,63.7,8.6,9.3,1.6,0.2,24.7,15.4,16.9,13.0,0.4,88.4
15407,VILLA DE LEYVA,6.9,43.7,2.0,4.0,19.8,8.5,2.8,2.6,0.8,3.1,11.6,3.9,16.2,1.3,81.4
15425,MACANAL,14.9,73.1,1.0,0.6,37.3,2.8,6.6,2.8,0.5,8.5,13.8,23.2,10.1,1.1,88.6
15442,MARIPÍ,28.1,84.6,1.3,11.9,52.1,4.1,35.1,4.0,0.5,19.5,17.6,71.8,10.8,1.2,93.1
15455,MIRAFLORES,12.3,61.3,0.8,2.6,32.1,4.5,3.3,1.9,2.1,3.9,10.6,13.2,10.1,0.7,84.0
15464,MONGUA,15.1,72.3,1.7,17.9,64.8,11.0,25.0,3.4,0.6,28.5,16.9,15.5,11.2,0.9,85.5
15466,MONGUÍ,13.7,61.1,1.7,3.7,44.2,9.2,6.0,4.3,0.4,8.1,13.7,5.7,14.5,0.8,86.9
15469,MONIQUIRÁ,15.3,59.4,1.6,2.9,29.2,4.7,12.1,3.8,0.6,4.3,11.1,20.4,12.4,1.2,85.7
15476,MOTAVITA,12.4,71.7,1.8,2.7,64.4,8.9,26.4,3.9,0.5,11.9,16.0,35.8,13.2,0.8,89.3
15480,MUZO,17.8,70.6,0.7,7.8,39.8,9.1,23.0,2.7,9.7,14.3,19.3,34.5,10.4,1.1,86.4
15491,NOBSA,5.4,41.7,1.2,3.2,31.1,3.5,1.2,2.4,0.2,0.5,10.7,0.8,13.0,0.6,79.6
15494,NUEVO COLÓN,12.9,76.3,2.0,9.4,49.1,5.7,30.4,5.5,1.2,12.9,16.1,19.8,9.8,1.5,94.2
15500,OICATÁ,11.3,60.6,1.7,9.9,26.1,5.8,7.4,1.2,0.3,8.2,18.1,5.0,13.5,1.0,80.3
15507,OTANCHE,19.0,73.2,1.7,3.3,31.0,5.8,42.6,4.0,18.4,17.0,14.0,44.1,12.5,1.9,86.6
15511,PACHAVITA,15.3,82.4,0.9,13.5,39.3,4.7,10.3,3.1,0.4,12.7,14.5,19.0,6.2,0.9,89.1
15514,PÁEZ,14.8,73.1,1.4,3.9,43.0,3.8,13.8,2.7,1.4,11.8,13.7,47.3,9.2,1.0,84.8
15516,PAIPA,6.9,46.5,0.9,3.5,31.8,4.6,4.4,1.9,0.2,2.0,13.7,5.1,11.3,0.9,78.0
15518,PAJARITO,15.5,65.8,1.7,1.6,29.9,6.0,9.4,2.0,0.7,3.0,12.9,23.5,14.2,1.0,78.1
15522,PANQUEBA,16.6,67.4,2.4,0.5,52.1,8.9,6.0,4.6,0.9,24.0,13.5,27.5,12.9,1.8,92.0
15531,PAUNA,29.5,80.0,1.3,2.7,33.7,3.7,30.2,3.8,2.6,14.8,11.3,52.6,10.9,1.9,91.5
15533,PAYA,25.0,77.1,3.2,2.9,59.5,15.3,42.4,6.2,1.7,64.4,26.6,59.6,9.5,2.9,92.5
15537,PAZ DE RÍO,11.2,58.0,1.0,1.3,35.2,6.9,10.7,1.0,0.1,7.9,13.0,8.7,12.8,0.3,73.1
15542,PESCA,16.0,75.8,0.8,4.8,43.9,8.7,24.2,3.4,0.3,18.6,12.2,13.3,10.2,2.2,90.6
15550,PISBA,18.6,73.7,2.0,4.4,52.8,14.0,24.1,5.5,2.2,38.2,18.2,50.2,10.3,3.1,88.4
15572,PUERTO BOYACÁ,15.4,62.1,2.0,5.5,37.8,11.4,8.9,3.2,7.0,4.9,20.1,5.8,16.7,0.9,80.7
15580,QUÍPAMA,23.3,79.1,1.2,0.3,72.9,4.9,37.8,5.2,13.1,32.2,11.7,63.6,13.3,0.4,92.8
15599,RAMIRIQUÍ,15.7,66.3,1.2,5.7,35.6,5.5,19.7,3.8,0.4,5.3,13.5,16.0,10.7,2.3,90.2
15600,RÁQUIRA,18.6,74.2,2.2,1.1,25.8,10.1,12.6,5.4,0.4,10.2,13.1,30.3,9.3,3.2,87.1
15621,RONDÓN,15.6,73.9,1.0,5.6,61.0,2.4,10.3,2.7,0.1,7.0,12.0,50.3,9.6,0.9,91.1
15632,SABOYÁ,17.9,75.7,1.6,4.0,43.3,5.0,20.5,2.8,0.1,10.8,15.4,34.4,11.0,2.1,92.0
15638,SÁCHICA,11.1,63.9,2.5,0.5,20.9,10.0,11.8,5.1,0.8,9.9,13.5,5.3,11.4,6.1,88.9
15646,SAMACÁ,11.9,67.1,1.7,4.7,29.6,6.8,13.3,4.9,0.2,1.4,15.5,4.0,10.0,3.0,78.3
15660,SAN EDUARDO,14.1,69.9,0.8,5.4,52.1,4.7,10.7,0.9,0.9,6.0,12.1,25.2,6.1,1.1,89.6
15664,SAN JOSÉ DE PARE,24.3,82.5,1.3,2.6,39.8,2.9,20.4,4.4,2.3,10.1,15.7,53.2,10.6,1.8,93.2
15667,SAN LUIS DE GACENO,15.6,72.0,1.5,0.9,29.6,5.4,24.0,3.5,1.0,15.0,10.0,39.6,10.5,1.8,86.9
15673,SAN MATEO,17.6,75.5,0.4,1.4,61.1,10.6,15.0,1.3,0.2,33.1,14.5,25.5,12.4,0.3,89.5
15676,SAN MIGUEL DE SEMA,10.0,73.0,1.8,3.0,38.4,4.1,8.5,1.5,0.5,8.1,15.5,56.2,10.5,1.2,83.1
15681,SAN PABLO DE BORBUR,20.0,78.8,1.7,1.6,48.0,3.4,53.9,4.3,2.5,6.2,16.2,66.0,13.0,1.0,89.0
15686,SANTANA,20.5,72.9,0.9,4.5,39.4,6.3,24.6,4.5,3.0,9.2,16.6,28.2,10.4,2.3,93.5
15690,SANTA MARÍA,15.8,65.5,1.5,2.7,33.2,7.2,25.7,2.1,2.2,9.6,16.0,31.4,11.2,1.3,79.8
15693,SANTA ROSA DE VITERBO,7.7,50.1,1.1,2.7,45.5,3.6,3.8,2.6,0.2,2.6,8.2,5.0,12.7,0.4,87.6
15696,SANTA SOFÍA,16.3,71.0,1.6,3.2,33.6,7.1,22.8,3.1,0.4,8.4,11.1,16.3,15.3,3.5,89.5
15720,SATIVANORTE,13.5,78.7,1.3,5.8,73.7,9.8,13.0,1.6,0.4,18.9,10.0,23.8,6.5,0.3,89.0
15723,SATIVASUR,8.1,63.1,1.3,2.6,60.8,8.3,23.6,1.0,0.0,15.8,14.3,10.4,6.8,0.0,81.3
15740,SIACHOQUE,17.8,83.8,2.7,4.3,53.1,9.9,15.9,4.2,0.1,10.2,14.9,17.5,10.2,2.4,93.2
15753,SOATÁ,9.7,48.4,0.8,1.0,38.4,6.9,3.9,1.2,0.1,9.5,7.8,6.9,9.8,0.4,85.4
15755,SOCOTÁ,20.2,80.3,2.2,5.3,57.7,14.3,17.3,5.5,0.4,38.0,19.3,42.0,11.9,0.8,79.4
15757,SOCHA,10.1,59.3,2.4,0.9,38.8,9.8,3.6,3.3,0.3,8.8,12.6,6.1,13.9,0.7,72.7
15759,SOGAMOSO,5.2,36.7,1.5,3.0,29.2,4.0,1.9,2.0,0.1,0.8,10.3,1.9,13.3,0.5,79.3
15761,SOMONDOCO,15.3,79.6,0.9,7.4,51.5,2.2,18.8,2.1,0.2,13.2,5.5,37.5,6.7,0.6,87.8
15762,SORA,13.6,77.5,0.6,2.6,63.5,5.3,55.1,4.6,0.1,43.9,9.2,27.9,9.0,0.6,93.0
15763,SOTAQUIRÁ,10.2,74.3,2.8,2.7,38.3,7.0,27.1,10.0,0.2,12.5,18.3,8.3,13.0,1.9,82.3
15764,SORACÁ,18.2,77.2,1.2,4.3,41.9,9.3,17.0,3.4,0.3,4.8,21.6,16.5,9.9,2.3,88.3
15774,SUSACÓN,15.9,75.1,0.6,0.9,56.5,7.7,8.7,1.6,0.0,16.7,6.2,27.1,10.5,0.6,91.0
15776,SUTAMARCHÁN,13.4,68.3,1.9,2.3,32.3,8.1,17.8,2.5,0.2,14.6,12.0,37.2,8.5,2.6,88.9
15778,SUTATENZA,20.6,76.9,0.8,3.7,52.5,5.0,25.3,1.5,0.9,34.8,10.2,56.5,7.9,0.8,89.6
15790,TASCO,11.0,71.1,1.3,1.3,51.5,7.7,15.9,3.3,0.2,16.1,13.8,5.6,13.3,1.1,79.5
15798,TENZA,13.9,77.6,0.5,9.9,39.7,5.1,14.9,2.0,0.6,12.6,12.2,52.5,7.9,0.7,85.6
15804,TIBANÁ,18.9,82.3,1.4,1.1,51.5,4.7,33.8,2.9,0.2,21.4,11.5,21.8,8.3,1.8,90.2
15806,TIBASOSA,8.9,51.7,1.3,1.0,33.1,3.0,2.4,3.6,0.8,1.0,11.0,1.6,13.7,1.2,82.2
15808,TINJACÁ,11.9,63.3,1.4,7.1,42.4,5.3,13.6,1.9,0.4,7.7,11.6,46.5,9.4,1.1,88.1
15810,TIPACOQUE,20.1,70.0,0.7,1.9,44.5,13.0,20.8,1.6,0.3,35.3,11.4,47.9,9.0,1.1,91.3
15814,TOCA,9.6,70.2,2.3,1.7,36.7,8.0,20.7,4.2,0.5,13.5,14.8,9.2,10.0,2.1,87.7
15816,TOGÜÍ,19.9,83.0,1.9,10.4,43.8,6.0,14.6,5.4,1.4,13.7,21.5,32.6,8.7,2.6,94.3
15820,TÓPAGA,11.3,63.3,1.4,3.4,41.0,7.3,15.4,1.6,0.1,6.1,18.3,24.0,12.3,0.9,76.6
15822,TOTA,22.3,85.5,2.4,0.9,53.5,7.5,13.7,4.4,0.1,18.2,18.0,16.4,10.4,2.4,95.3
15832,TUNUNGUÁ,17.9,76.8,1.0,6.7,39.7,7.6,12.2,3.6,5.5,11.2,18.4,26.2,12.7,1.5,89.5
15835,TURMEQUÉ,15.0,75.0,1.3,7.4,52.8,6.9,38.4,2.6,0.3,9.9,16.0,9.1,8.3,1.0,91.4
15837,TUTA,10.2,63.3,2.3,4.5,45.9,6.5,16.3,5.6,0.3,7.1,16.1,8.6,10.9,0.8,86.6
15839,TUTAZÁ,14.2,77.4,1.2,0.3,55.1,5.9,9.8,2.5,0.0,6.9,9.5,25.5,13.0,1.5,90.0
15842,ÚMBITA,17.1,80.3,1.2,1.9,49.4,4.0,52.1,3.0,0.2,16.4,14.3,20.1,11.0,1.8,93.4
15861,VENTAQUEMADA,12.3,72.8,1.6,5.3,32.1,4.2,12.4,3.8,0.6,4.0,16.6,5.5,10.3,2.5,89.8
15879,VIRACACHÁ,15.2,84.1,0.9,1.8,60.8,3.2,17.9,5.1,0.6,15.1,11.2,13.4,7.8,2.4,94.3
